,FX,Gold,Gold_KRWg,DXY,Rate,Bond10,Rate_US,Bond10_US,Spread5D,M2_D,M2_US_D,CPI_D,CoreCPI_D,RealRate_D,SP500,KODEX200,Bitcoin
2015-04-27,1071.01,1203.300048828125,41434.127519263435,89.9196,0.75,2.177,0.12,1.94,1.427,,11978.866666666667,236.222,241.346,0.8540309893939106,2108.919921875,21846.306640625,229.28599548339844
2015-04-28,1063.03,1214.0,41491.0997154661,89.319,0.75,2.177,0.12,1.94,1.427,,11979.800000000001,236.222,241.346,0.8540309893939106,2114.760009765625,21770.12890625,225.85499572753906
2015-04-29,1066.48,1209.800048828125,41481.7482300776,88.3547,0.75,2.177,0.12,1.94,1.427,,11980.733333333334,236.222,241.346,0.8540309893939106,2106.85009765625,21721.443359375,225.80799865722656
2015-04-30,1076.74,1182.4000244140625,40932.28743670641,89.0096,0.75,2.177,0.12,1.94,1.427,,11981.666666666668,236.222,241.346,0.8540309893939106,2085.510009765625,21624.076171875,236.14500427246094
2015-05-01,1080.22,1174.5,40790.21299853714,89.1848,0.75,2.49,0.12,2.2,1.4896,,11982.6,237.001,241.688,0.7149667817557042,2108.2900390625,21624.076171875,232.07899475097656
2015-05-02,1080.22,1174.5,40790.21299853714,89.1848,0.75,2.49,0.12,2.2,1.5522000000000002,,11983.909677419355,237.001,241.688,0.7149667817557042,2108.2900390625,21624.076171875,234.92999267578125
2015-05-03,1080.22,1174.5,40790.21299853714,89.1848,0.75,2.49,0.12,2.2,1.6148000000000002,,11985.21935483871,237.001,241.688,0.7149667817557042,2108.2900390625,21624.076171875,240.35800170898438
2015-05-04,1081.19,1186.800048828125,41254.40367780091,89.1789,0.75,2.49,0.12,2.2,1.6774,,11986.529032258064,237.001,241.688,0.7149667817557042,2114.489990234375,21693.044921875,239.01800537109375
2015-05-05,1080.46,1193.199951171875,41448.86650194236,88.7973,0.75,2.49,0.12,2.2,1.7400000000000002,,11987.83870967742,237.001,241.688,0.7149667817557042,2089.4599609375,21693.044921875,236.12100219726562
2015-05-06,1077.23,1190.300048828125,41224.52205054483,88.0236,0.75,2.49,0.12,2.2,1.7400000000000002,,11989.148387096775,237.001,241.688,0.7149667817557042,2080.14990234375,21344.140625,229.78199768066406
2015-05-07,1093.55,1182.4000244140625,41571.31984175408,88.5882,0.75,2.49,0.12,2.2,1.7400000000000002,,11990.45806451613,237.001,241.688,0.7149667817557042,2088.0,21246.7734375,237.33399963378906
2015-05-08,1087.28,1189.0999755859375,41567.17480203443,88.5252,0.75,2.49,0.12,2.2,1.7400000000000002,,11991.767741935484,237.001,241.688,0.7149667817557042,2116.10009765625,21157.5234375,243.86300659179688
2015-05-09,1087.28,1189.0999755859375,41567.17480203443,88.5252,0.75,2.49,0.12,2.2,1.7400000000000002,,11993.077419354839,237.001,241.688,0.7149667817557042,2116.10009765625,21157.5234375,241.83200073242188
2015-05-10,1087.28,1189.0999755859375,41567.17480203443,88.5252,0.75,2.49,0.12,2.2,1.7400000000000002,,11994.387096774193,237.001,241.688,0.7149667817557042,2116.10009765625,21157.5234375,240.29600524902344
2015-05-11,1095.39,1183.199951171875,41669.43895427075,88.8918,0.75,2.49,0.12,2.2,1.7400000000000002,,11995.69677419355,237.001,241.688,0.7149667817557042,2105.330078125,21194.033203125,242.1580047607422
2015-05-12,1093.81,1192.5999755859375,41939.90320367979,88.2035,0.75,2.49,0.12,2.2,1.7400000000000002,,11997.006451612904,237.001,241.688,0.7149667817557042,2099.1201171875,21181.859375,241.11199951171875
2015-05-13,1089.72,1218.4000244140625,42686.992608693305,87.5127,0.75,2.49,0.12,2.2,1.7400000000000002,,11998.316129032259,237.001,241.688,0.7149667817557042,2098.47998046875,21311.68359375,236.3769989013672
2015-05-14,1089.46,1225.4000244140625,42921.996257596234,87.6232,0.75,2.49,0.12,2.2,1.7400000000000002,,11999.625806451613,237.001,241.688,0.7149667817557042,2121.10009765625,21340.080078125,236.9290008544922
2015-05-15,1083.05,1225.5,42672.93954056617,87.5059,0.75,2.49,0.12,2.2,1.7400000000000002,,12000.935483870968,237.001,241.688,0.7149667817557042,2122.72998046875,21129.125,237.60499572753906
